compounds,name,maxFlux
cpd00971,Na+,111.682273
cpd00099,Cl-,86.263056
cpd00063,Ca2+,0.075939
cpd10515,Fe2+,0.006263
cpd10516,Fe3+,0.006263
cpd00048,Sulfate,0.390397
cpd00009,Phosphate,4.438244
cpd00254,Mg2+,0.726065
cpd00205,K+,2.996797
cpd00035,L-Alanine,15.999584
cpd00041,L-Aspartate,9.305464
cpd00132,L-Asparagine,0.471902
cpd00023,L-Glutamate,19.832491
cpd00053,L-Glutamine,0.092177
cpd00033,Glycine,33.591227
cpd00119,L-Histidine,1.737038
cpd00322,L-Isoleucine,6.288744
cpd00107,L-Leucine,9.477280
cpd00039,L-Lysine,7.895564
cpd00060,L-Methionine,2.092014
cpd00066,L-Phenylalanine,4.701806
cpd00129,L-Proline,16.257607
cpd00054,L-Serine,5.585371
cpd00161,L-Threonine,4.323706
cpd00065,L-Tryptophan,0.667718
cpd00069,L-Tyrosine,1.161137
cpd00051,L-Arginine,12.755325
cpd00156,L-Valine,8.662899
cpd00084,L-Cysteine,0.164059
cpd01012,Cd2+,0.000067
cpd00149,Co2+,0.002200
cpd00058,Cu2+,0.006122
cpd00030,Mn2+,0.008326
cpd04097,Pb2+,0.000017
cpd00034,Zn2+,0.232317
cpd00092,Uracil,0.281475
cpd00013,NH3,2.436733
cpd00158,CELB,0.010225
cpd00138,D-Mannose,0
cpd00104,BIOT,0.068660
cpd00220,Riboflavin,0.005015
cpd00218,Niacin,0.016327
cpd00263,Pyridoxol,0.004433
cpd15500,Menaquinone 8,0.002904
cpd00305,Thiamin,0.002071
cpd00393,Folate,0.000254
cpd00166,Calomide,0.000007
cpd00027,D-Glucose,0
cpd00020,Pyruvate,0
cpd00028,Heme,0.007670
cpd00067,H+,0.000079
cpd00001,H2O,55524.708495
cpd15561,UQ-8,0.010000
cpd00264,Spermidine,0.010000
cpd00007,O2,0.001000
cpd00075,NO2-,0.001000
cpd00556,Cys-Gly,0.100000
cpd02782,UDP-N-acetyl-D-glucosaminouronate,5
